Sample Index,GX Raw (LSB),GY Raw (LSB),GZ Raw (LSB),GX Uncal (dps),GY Uncal (dps),GZ Uncal (dps),GX Cal (dps),GY Cal (dps),GZ Cal (dps),Roll Angle Uncal (deg),Pitch Angle Uncal (deg),Yaw Angle Uncal (deg),Roll Angle Cal (deg),Pitch Angle Cal (deg),Yaw Angle Cal (deg)
296,-1083,108,-41,-8.267176,0.824427,-0.312977,-0.205214,0.279122,-0.039885,-23.581985,1.631298,-0.911832,0.281422,0.017194,-0.103481
297,-1103,99,-75,-8.419847,0.755725,-0.572519,-0.357885,0.210420,-0.299427,-23.666183,1.638855,-0.917557,0.277843,0.019298,-0.106475
298,-1111,125,-34,-8.480916,0.954198,-0.259542,-0.418954,0.408893,0.013550,-23.750992,1.648397,-0.920153,0.273654,0.023387,-0.106340
299,-1113,86,-28,-8.496183,0.656489,-0.213740,-0.434221,0.111183,0.059351,-23.835954,1.654962,-0.922290,0.269312,0.024499,-0.105746
300,-1108,85,244,-8.458015,0.648855,1.862595,-0.396053,0.103550,2.135687,-23.920534,1.661450,-0.903664,0.265351,0.025534,-0.084389
301,-1112,143,-63,-8.488550,1.091603,-0.480916,-0.426588,0.546298,-0.207824,-24.005420,1.672366,-0.908473,0.261085,0.030997,-0.086468
302,-1034,103,-59,-7.893130,0.786260,-0.450382,0.168832,0.240954,-0.177290,-24.084351,1.680229,-0.912977,0.262774,0.033407,-0.088240
303,-980,82,-59,-7.480916,0.625954,-0.450382,0.581046,0.080649,-0.177290,-24.159160,1.686489,-0.917481,0.268584,0.034213,-0.090013
304,-994,88,-56,-7.587786,0.671756,-0.427481,0.474176,0.126450,-0.154389,-24.235038,1.693206,-0.921756,0.273326,0.035478,-0.091557
305,-1045,87,-59,-7.977099,0.664122,-0.450382,0.084863,0.118817,-0.177290,-24.314809,1.699847,-0.926260,0.274174,0.036666,-0.093330
306,-996,93,-80,-7.603053,0.709924,-0.610687,0.458908,0.164618,-0.337595,-24.390840,1.706947,-0.932366,0.278764,0.038312,-0.096706
307,-1259,89,-59,-9.610687,0.679389,-0.450382,-1.548725,0.134084,-0.177290,-24.486947,1.713740,-0.936870,0.263276,0.039653,-0.098479
308,-1033,106,-57,-7.885496,0.809160,-0.435115,0.176466,0.263855,-0.162023,-24.565802,1.721832,-0.941221,0.265041,0.042292,-0.100099
309,-1278,123,-68,-9.755725,0.938931,-0.519084,-1.693763,0.393626,-0.245992,-24.663359,1.731221,-0.946412,0.248103,0.046228,-0.102559
310,-1234,44,-230,-9.419847,0.335878,-1.755725,-1.357885,-0.209427,-1.482634,-24.757557,1.734580,-0.963969,0.234524,0.044134,-0.117385
311,-1012,237,-248,-7.725191,1.809160,-1.893130,0.336771,1.263855,-1.620038,-24.834809,1.752672,-0.982901,0.237892,0.056772,-0.133586
312,-1000,254,-248,-7.633588,1.938931,-1.893130,0.428374,1.393626,-1.620038,-24.911145,1.772061,-1.001832,0.242176,0.070708,-0.149786
313,-1276,239,-249,-9.740458,1.824427,-1.900763,-1.678496,1.279122,-1.627672,-25.008550,1.790305,-1.020840,0.225391,0.083500,-0.166063
314,-1270,14,-8,-9.694656,0.106870,-0.061069,-1.632695,-0.438435,0.212023,-25.105496,1.791374,-1.021450,0.209064,0.079115,-0.163943
315,-1008,7,-5,-7.694656,0.053435,-0.038168,0.367305,-0.491870,0.234924,-25.182443,1.791908,-1.021832,0.212737,0.074197,-0.161594
316,-1275,11,-252,-9.732824,0.083969,-1.923664,-1.670863,-0.461336,-1.650573,-25.279771,1.792748,-1.041069,0.196028,0.069583,-0.178099
317,-1021,10,-225,-7.793893,0.076336,-1.717557,0.268069,-0.468969,-1.444466,-25.357710,1.793511,-1.058244,0.198709,0.064894,-0.192544
318,-1274,9,-4,-9.725191,0.068702,-0.030534,-1.663229,-0.476603,0.242557,-25.454962,1.794198,-1.058550,0.182077,0.060127,-0.190118
319,-785,-247,-35,-5.992366,-1.885496,-0.267176,2.069595,-2.430802,0.005916,-25.514885,1.775344,-1.061221,0.202773,0.035819,-0.190059
320,-1092,84,1,-8.335878,0.641221,0.007634,-0.273916,0.095916,0.280725,-25.598244,1.781756,-1.061145,0.200034,0.036779,-0.187252
321,-1091,66,254,-8.328244,0.503817,1.938931,-0.266282,-0.041489,2.212023,-25.681527,1.786794,-1.041756,0.197371,0.036364,-0.165132
322,-1087,58,255,-8.297710,0.442748,1.946565,-0.235748,-0.102557,2.219656,-25.764504,1.791221,-1.022290,0.195013,0.035338,-0.142935
323,-1077,-234,9,-8.221374,-1.786260,0.068702,-0.159412,-2.331565,0.341794,-25.846718,1.773359,-1.021603,0.193419,0.012023,-0.139517
324,-1089,51,18,-8.312977,0.389313,0.137405,-0.251015,-0.155992,0.410496,-25.929847,1.777252,-1.020229,0.190909,0.010463,-0.135412
325,-1095,-2,253,-8.358779,-0.015267,1.931298,-0.296817,-0.560573,2.204389,-26.013435,1.777099,-1.000916,0.187941,0.004857,-0.113368
326,-1058,43,193,-8.076336,0.328244,1.473282,-0.014374,-0.217061,1.746374,-26.094198,1.780382,-0.986183,0.187797,0.002686,-0.095905
327,-1112,98,-37,-8.488550,0.748092,-0.282443,-0.426588,0.202786,-0.009351,-26.179084,1.787863,-0.989008,0.183531,0.004714,-0.095998
328,-1062,164,-73,-8.106870,1.251908,-0.557252,-0.044908,0.706603,-0.284160,-26.260153,1.800382,-0.994580,0.183082,0.011780,-0.098840
329,-1061,146,-77,-8.099237,1.114504,-0.587786,-0.037275,0.569198,-0.314695,-26.341145,1.811527,-1.000458,0.182709,0.017472,-0.101987
330,-1057,153,-74,-8.068702,1.167939,-0.564885,-0.006740,0.622634,-0.291794,-26.421832,1.823206,-1.006107,0.182642,0.023698,-0.104905
331,-1078,157,-64,-8.229008,1.198473,-0.488550,-0.167046,0.653168,-0.215458,-26.504122,1.835191,-1.010992,0.180972,0.030230,-0.107059
332,-1066,132,-76,-8.137405,1.007634,-0.580153,-0.075443,0.462328,-0.307061,-26.585496,1.845267,-1.016794,0.180217,0.034853,-0.110130
333,-1091,130,-40,-8.328244,0.992366,-0.305344,-0.266282,0.447061,-0.032252,-26.668779,1.855191,-1.019847,0.177554,0.039324,-0.110452
334,-1095,124,-64,-8.358779,0.946565,-0.488550,-0.296817,0.401260,-0.215458,-26.752366,1.864656,-1.024733,0.174586,0.043337,-0.112607
335,-1069,95,-29,-8.160305,0.725191,-0.221374,-0.098344,0.179885,0.051718,-26.833969,1.871908,-1.026947,0.173603,0.045135,-0.112090
336,-1261,68,-51,-9.625954,0.519084,-0.389313,-1.563992,-0.026221,-0.116221,-26.930229,1.877099,-1.030840,0.157963,0.044873,-0.113252
337,-778,65,-28,-5.938931,0.496183,-0.213740,2.123031,-0.049122,0.059351,-26.989618,1.882061,-1.032977,0.179193,0.044382,-0.112658
338,-1002,56,-35,-7.648855,0.427481,-0.267176,0.413107,-0.117824,0.005916,-27.066107,1.886336,-1.035649,0.183324,0.043204,-0.112599
339,-1012,77,-60,-7.725191,0.587786,-0.458015,0.336771,0.042481,-0.184924,-27.143359,1.892214,-1.040229,0.186692,0.043629,-0.114448
340,-989,72,-38,-7.549618,0.549618,-0.290076,0.512344,0.004313,-0.016985,-27.218855,1.897710,-1.043130,0.191815,0.043672,-0.114618
341,-1268,78,-53,-9.679389,0.595420,-0.404580,-1.617427,0.050115,-0.131489,-27.315649,1.903664,-1.047176,0.175641,0.044173,-0.115933
342,-1263,88,-19,-9.641221,0.671756,-0.145038,-1.579260,0.126450,0.128053,-27.412061,1.910382,-1.048626,0.159848,0.045437,-0.114653
343,-982,74,-40,-7.496183,0.564885,-0.305344,0.565779,0.019580,-0.032252,-27.487023,1.916031,-1.051679,0.165506,0.045633,-0.114975
344,-781,1,9,-5.961832,0.007634,0.068702,2.100130,-0.537672,0.341794,-27.546641,1.916107,-1.050992,0.186507,0.040256,-0.111557
345,-795,14,13,-6.068702,0.106870,0.099237,1.993260,-0.438435,0.372328,-27.607328,1.917176,-1.050000,0.206440,0.035872,-0.107834
346,-790,23,19,-6.030534,0.175573,0.145038,2.031427,-0.369733,0.418130,-27.667634,1.918931,-1.048550,0.226754,0.032175,-0.103653
347,-1021,7,22,-7.793893,0.053435,0.167939,0.268069,-0.491870,0.441031,-27.745573,1.919466,-1.046870,0.229435,0.027256,-0.099242
348,-1007,6,7,-7.687023,0.045802,0.053435,0.374939,-0.499504,0.326527,-27.822443,1.919924,-1.046336,0.233184,0.022261,-0.095977
349,-1009,252,16,-7.702290,1.923664,0.122137,0.359672,1.378359,0.395229,-27.899466,1.939160,-1.045115,0.236781,0.036045,-0.092025
350,-1265,13,-8,-9.656489,0.099237,-0.061069,-1.594527,-0.446069,0.212023,-27.996031,1.940153,-1.045725,0.220836,0.031584,-0.089905
351,-1002,13,246,-7.648855,0.099237,1.877863,0.413107,-0.446069,2.150954,-28.072519,1.941145,-1.026947,0.224967,0.027123,-0.068395
352,-1082,37,1,-8.259542,0.282443,0.007634,-0.197580,-0.262863,0.280725,-28.155115,1.943969,-1.026870,0.222991,0.024495,-0.065588
353,-1095,97,-42,-8.358779,0.740458,-0.320611,-0.296817,0.195153,-0.047519,-28.238702,1.951374,-1.030076,0.220023,0.026446,-0.066063
354,-1112,104,-32,-8.488550,0.793893,-0.244275,-0.426588,0.248588,0.028817,-28.323588,1.959313,-1.032519,0.215757,0.028932,-0.065775
355,-1118,105,-45,-8.534351,0.801527,-0.343511,-0.472389,0.256221,-0.070420,-28.408931,1.967328,-1.035954,0.211033,0.031494,-0.066479
356,-1122,105,-20,-8.564885,0.801527,-0.152672,-0.502924,0.256221,0.120420,-28.494580,1.975344,-1.037481,0.206004,0.034056,-0.065275
357,-1123,107,-62,-8.572519,0.816794,-0.473282,-0.510557,0.271489,-0.200191,-28.580305,1.983511,-1.042214,0.200898,0.036771,-0.067277
358,-1095,101,-36,-8.358779,0.770992,-0.274809,-0.296817,0.225687,-0.001718,-28.663893,1.991221,-1.044962,0.197930,0.039028,-0.067294
359,-1125,111,-17,-8.587786,0.847328,-0.129771,-0.525824,0.302023,0.143321,-28.749771,1.999695,-1.046260,0.192672,0.042048,-0.065861
360,-1126,102,-45,-8.595420,0.778626,-0.343511,-0.533458,0.233321,-0.070420,-28.835725,2.007481,-1.049695,0.187337,0.044382,-0.066565
361,-1109,89,-20,-8.465649,0.679389,-0.152672,-0.403687,0.134084,0.120420,-28.920382,2.014275,-1.051221,0.183301,0.045723,-0.065361
362,-1098,104,-70,-8.381679,0.793893,-0.534351,-0.319718,0.248588,-0.261260,-29.004198,2.022214,-1.056565,0.180103,0.048208,-0.067973
363,-1032,59,-5,-7.877863,0.450382,-0.038168,0.184099,-0.094924,0.234924,-29.082977,2.026718,-1.056947,0.181944,0.047259,-0.065624
364,-859,118,-74,-6.557252,0.900763,-0.564885,1.504710,0.355458,-0.291794,-29.148550,2.035725,-1.062595,0.196991,0.050814,-0.068542
365,-1000,243,5,-7.633588,1.854962,0.038168,0.428374,1.309656,0.311260,-29.224885,2.054275,-1.062214,0.201275,0.063910,-0.065429
366,-1091,140,-59,-8.328244,1.068702,-0.450382,-0.266282,0.523397,-0.177290,-29.308168,2.064962,-1.066718,0.198612,0.069144,-0.067202
367,-823,97,-244,-6.282443,0.740458,-1.862595,1.779519,0.195153,-1.589504,-29.370992,2.072366,-1.085344,0.216408,0.071096,-0.083097
368,-1127,116,-60,-8.603053,0.885496,-0.458015,-0.541092,0.340191,-0.184924,-29.457023,2.081221,-1.089924,0.210997,0.074498,-0.084947
369,-971,230,10,-7.412214,1.755725,0.076336,0.649748,1.210420,0.349427,-29.531145,2.098779,-1.089160,0.217494,0.086602,-0.081452
370,-1093,133,-255,-8.343511,1.015267,-1.946565,-0.281550,0.469962,-1.673473,-29.614580,2.108931,-1.108626,0.214679,0.091302,-0.098187
371,-787,49,-44,-6.007634,0.374046,-0.335878,2.054328,-0.171260,-0.062786,-29.674656,2.112672,-1.111985,0.235222,0.089589,-0.098815
372,-1252,-193,-81,-9.557252,-1.473282,-0.618321,-1.495290,-2.018588,-0.345229,-29.770229,2.097939,-1.118168,0.220269,0.069403,-0.102267
373,-1267,6,-245,-9.671756,0.045802,-1.870229,-1.609794,-0.499504,-1.597137,-29.866947,2.098397,-1.136870,0.204171,0.064408,-0.118239
374,-1085,118,-72,-8.282443,0.900763,-0.549618,-0.220481,0.355458,-0.276527,-29.949771,2.107405,-1.142366,0.201966,0.067963,-0.121004
375,-1258,254,-79,-9.603053,1.938931,-0.603053,-1.541092,1.393626,-0.329962,-30.045802,2.126794,-1.148397,0.186555,0.081899,-0.124303
376,-1027,24,-251,-7.839695,0.183206,-1.916031,0.222267,-0.362099,-1.642939,-30.124198,2.128626,-1.167557,0.188778,0.078278,-0.140733
377,-1138,24,-229,-8.687023,0.183206,-1.748092,-0.625061,-0.362099,-1.475000,-30.211069,2.130458,-1.185038,0.182527,0.074657,-0.155483
378,-1080,113,-67,-8.244275,0.862595,-0.511450,-0.182313,0.317290,-0.238359,-30.293511,2.139084,-1.190153,0.180704,0.077830,-0.157866
